text	class
Review	Liked
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
Retweeted Juan Carlos Figueroa Godoy ( @juanfigueroag): Valor del voto efectivo por cada candidato: Duque: $3.148 Germán Vargas Lleras: $10.721 Gustavo Petro: $2.516 Humberto de la Calle: $26.600 Fajardo: $1.767 Este... https://www.facebook.com/732978408/posts/10155879742908409/ …    	0
Valor del voto efectivo por cada candidato: Duque: $3.148 Germán Vargas Lleras: $10.721 Gustavo Petro: $2.516 Humberto de la Calle: $26.600 Fajardo: $1.767 Este país sí tiene arreglo. Gracias @sergio_fajardo y @JERobledo por enseñarnos a hacer política decente.pic.twitter.com/XnCTjPJQRH    	0
Resultados elecciones 2018 1ra vuelta: Iván Duque: 7.616 857 Gustavo Petro: 4.855.069 Sergio Fajardo: 4.602.916 Vargas Lleras: 1.412.392 De la Calle: 396.151 Petro y Vargas Ll. por 2da vez.    	0
Gustavo Petro ha recibido las adhesiones del comité ejecutivo del Polo Democrático, de la ex-candidata vicepresidencial de Humberto de la Calle, Clara López, así como de Claudia López –fórmula de Sergio Fajardo– y de... http://www.celag.org/segunda-vuelta-colombia-pre-electoral/ …    	0
El ranking de favorabilidad para los mercados financieros lo lidera Iván Duque con una puntuación de 8,7/10, seguido d Vargas Lleras con el 7,9/10. De La Calle con 6,4/10 y Fajardo con 6/10. Para el caso de Gustavo Petro solo alcanza el 2,3/10, siendo el q menos #Confianza genera    	1
Hoy estuvimos en el MIO diciéndole a la gente porque jóvenes de la campaña Sergio Fajardo, Humberto de la Calle y Gustavo Petro creemos que es necesario votar por la Colombia Humana, advirtiéndole al país la... https://www.facebook.com/100009632561501/videos/681389292192150/ …    	1
"""A los votantes por Sergio Fajardo, Humberto de La Calle y Gustavo Petro, les pido unidad."" https://alponiente.com/si-no-nos-unimos-los-mismos-ganaran-el-reinado/ …"    	0
"@sergio_fajardo @DeLaCalleHum Sabe qué Gustavo,APAGUE Y VAMONOS.""Humberto de la Calle"" pic.twitter.com/gh8nVLpBtT"    	1
La mañana de este martes Humberto de la Calle manifiesta su apoyo a la ideología política de Gustavo Petro. Insiste en que Iván Duque al frente del fin conflicto, genera peligro para el País.    	1
"Análisis / El próximo 17 de junio habrá segunda vuelta en Colombia. Iván Duque y Gustavo Petro se disputan la presidencia: ""Una victoria de Petro es posible (si recibe el apoyo de Fajardo y/o de la Calle), pero es más probable que venza Duque"" #Colombiahttps://ctxt.es/es/20180606/Politica/20029/Ivan-Duque-Gustavo-Petro-elecciones-Colombia-encuestas.htm …"    	0
Retweeted Iván Cepeda Castro ( @IvanCepedaCast): “Lo invito a luchar juntos”, la carta que Gustavo Petro le envió a Humberto de la Calle http://tinyurl.com/yakyqlzj vía @elespectador http://tinyurl.com/yakyqlzj    	1
A 10 días de las elecciones, PETRO marcha hacia la victoria..HUMBERTO DE LA CALLE y SERGIO FAJARDO. ..Colombia los aclama, es el momento de tener un mejor País. ..su apoyo a GUSTAVO PETRO es fundamental.    	1
Petro Duque De la Calle Fajardo #Elecciones2018    	0
Intercambio y diálogo entre votantes de Sergio Fajardo, Humberto de la Calle y Gustavo Petro buscando un acuerdo sobre lo fundamental. #EstoEsAGanar @petrogustavo presidentepic.twitter.com/JOhIpvSh21    	1
Las pasadas elecciones en Colombia nos han dejado una segunda vuelta con un 39,1% de los votos a Iván Duque y un 25,1% a Gustavo Petro. Una victoria de Petro aún es posible, pero para ello es necesario el apoyo de Fajardo y/o de la Calle. http://bit.ly/2MdNqun    	1
Queridas personas que votaron por Humberto De La Calle y Fajardo y que hoy están con Gustavo Petro y Angela María Robledo en la #ColombiaHumana, hoy a las 3:00 se va a grabar un video con ustedes... https://www.facebook.com/alejandro.lanz.sanchez/posts/10155628985075872 …    	0
Las pasadas elecciones en Colombia nos han dejado una segunda vuelta con un 39,1% de los votos a Iván Duque y un 25,1% a Gustavo Petro. Una victoria de Petro aún es posible, pero para ello es necesario el apoyo de Fajardo y/o de la Calle. http://bit.ly/2kW8vgq    	1
Hoy no estamos en ese escenario ya que así como Fajardo, Vargas Lleras y De la Calle, el voto en blanco también perdió, fueron todos derrotados en las urnas excepto los candidatos que están vivos en el presente, Iván Duque y Gustavo Petro. Ya no estamos en primera vuelta    	0
Riesgos petristas En las toldas de la campaña de Gustavo Petro no solo hay pesimismo por la decisión de los excandidatos presidenciales Sergio Fajardo y Humberto de la Calle de anunciar que votarán en blanco el... http://www.elnuevosiglo.com.co/articulos/06-2018-record-3 …    	0
En la toldas de la campaña de Gustavo Petro no sólo hay pesimismo por la decisión de los escandidatos presidenciales Sergio fajardo y Humberto de la calle de anunciar q votarán en blanco el próximo 17 junio sino q existe un temor aún mayor respecto a q una    	0
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
#NotisAlSur #Colombia De cara a la segunda vuelta electoral del próximo 17 de junio en Colombia los ex candidatos Sergio Fajardo y Humberto de la Calle anunciaron que votarán en blanco y no apoyarán a Gustavo Petro.    	0
El movimiento liderado por Clara López, quien fue fórmula vicepresidencial del excandidato Humberto de la Calle, anunció hoy el respaldo al izquierdista Gustavo Petro que el 17 de este mes disputará la Presidencia de Colombia con el candidato de derecha, Iván Duque    	1
Hay tres tipos de colombianos: 1. Te identificas con quien como servidor público ha demostrado que su interés principal es luchar por la defensa de los más vulnerables y de una verdadera justicia social (Gustavo Petro, Sergio Fajardo, Humberto de la Calle).    	0
Clara López, quien fue fórmula a la Vicepresidencia del excandidato Humberto de la Calle, anunció que respaldará al candidato Gustavo Petro que el 17 de junio disputará la Presidencia de Colombia con el candidato, Iván Duque. @ClaraLopezObre @DeLaCalleHum @petrogustavo @IvanDuque    	1
Gustavo Petro Sergio Fajardo De la calle vs Iván Duque Batalla final segunda vuelta: http://youtu.be/_nusYLjiX9g?a a través de @YouTube    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde el... https://www.facebook.com/martin.MARTIN22/posts/10216163047853269 …    	0
Voto por las propuestas de Gustavo Petro y la #ColombiaHumana, que recoge las ideas de Humberto de la Calle y Fajardo, del Polo y de Los Verdes. #NoDejesEnBlancoLaPaz https://twitter.com/eleccionescolom/status/1002375894902730752 …    	1
#ColombiaHumana #NoDejesEnBlancoLaPaz    	1
Me ha gustado un vídeo de @YouTube (http://youtu.be/7tY-0iqKV1s?a - Gustavo Petro, Sergio Fajardo, De la calle vs Iván Duque. Batalla    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos.... https://www.facebook.com/permalink.php?story_fbid=657957604535500&id=100009637981934 …    	0
Con todo respeto, pero con vehemencia, le pido a mi candidato Gustavo Petro: No llame más a formar parte de la Colombia Humana a Sergio Fajardo ni a Humberto de la Calle. Con los votos de los que creemos en sus propuestas lo elegiremos    	1
Me gustó un video de @YouTube http://youtu.be/7tY-0iqKV1s?a Gustavo Petro, Sergio Fajardo, De la calle vs Iván Duque. Batalla final    	0
#NoBoteElVoto #VoteConSentido El punto en común de mayor importancia que presentan las propuestas de Fajardo, Gustavo Petro y Humberto De La Calle, es la voluntad de cuidar y continuar con la implementación de los... https://www.unidosohundidos.com/en-que-nos-parecemos …    	0
#UnidosGoleamosEnSegunda Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	1
Mensaje para Gustavo Petro, Sergio Fajardo y Humberto de la Calle #NotaCiudadanahttps://www.las2orillas.co/tienen-la-oportunidad-y-la-posibilidad-de-ir-mas-alla-de-ustedes-mismos-y-crear-algo-diferente/ …    	0
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
Donde nace su candidato? Ivan Duque > Bogota Humberto de la Calle. > Manzanares Gustavo Petro > Cienaga de Oro Sergio fajardo. > Troya    	0
Paisas en la política Colombiana de hoy: Alvaro Uribe, César Gaviria, Humberto de la Calle, Sergio Fajardo, Angela María Robledo, Jorge Enrrique Robledo, Ivan Duque de origen paisa. Costeño Gustavo Petro. De Bogotá Claudia López y Juan Manuel Santos.    	0
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
Me ha gustado un vídeo de @YouTube (http://youtu.be/7tY-0iqKV1s?a - Gustavo Petro, Sergio Fajardo, De la calle vs Iván Duque. Batalla    	0
#EleccionesColombia Humberto De La Calle, Jorge Robledo, Sergio Fajardo, Juan Manuel Galán y Armando Benedetti optaron votar en blanco para segunda vuelta: #VotoBlancopic.twitter.com/n9OU8mmwm4    	0
Voto en blanco, ni chicha ni limoná. http://lasillavacia.com/node/66369 Cuando Sergio encabezaba las encuestas, Gustavo Petro y Humberto De la Calle le propusieron ir a consulta y hasta le rogaron para que por lo menos se tomasen un tinto y conversaran, pero Fajardo siempre dijo no.    	0
#Actualidad #Elecciones2018 | Este jueves los excandidatos Sergio Fajardo y Humberto de la Calle anunciaron que no apoyarán a ninguno de los dos candidatos que siguen en la contienda electoral. Seguir leyendo --> http://bit.ly/2xwWCqy #ElCongresoEsUstedpic.twitter.com/oX2JAPfpta    	0
"Para reflexionar un poco... ""Esa incapacidad trabajo en equipo no permitió la confluencia a tiempo"" Gustavo Petro. @Sergio fajardo Antanas Mockus Humberto De La Calle https://www.facebook.com/jose.delgado.joldix/posts/10160655819515457 …"    	0
¿Por quién van a votar los candidatos que no pasaron a segunda vuelta? Sergio Fajardo: En Blanco Claudia López: En Blanco Germán Vargas: Por Duque Juan Carlos Pinzón: Por Duque Humberto De La Calle: En Blanco Clara López: Por Petro . #EleccionesColombia    	0
"Al poder. Germán Vargas Lleras (Cambio radical) Humberto de la Calle (Partido Liberal) Sergio Fajardo (Coalición Colombia) Gustavo Petro (Partido Progresista) Ivan Duque (Centro democrático)    	0
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! (Una iniciativa ciudadana bacana) http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
Nos toca despertar del insomnio y hacer aterrizar a Sergio Fajardo, y a humberto de la calle, nos toca votar por Gustavo petro.    	1
Los ex candidatos a la presidencia de Colombia Sergio Fajardo y Humberto de la Calle manifestaron hoy su intención de votar en blanco en la segunda vuelta del 17 de junio y expresaron así su rechazo a los aspirantes al cargo, Iván Duque y Gustavo Petro.    	0
A raíz de los anuncios de Sergio Fajardo, Jorge Enrique Robledo y Humberto de La Calle de votar en blanco en la segunda vuelta presidencial, que se realizará el próximo 17 de junio, Gustavo Petro,... https://sociedaduniversal.website/en-2010-gustavo-petro-tambien-voto-en-blanco/ …    	0
Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …    	0
El voto es libre, de eso se trata la democracia. Por acá dejo un recuerdo, para quienes hoy atacan a Sergio Fajardo y Humberto de la Calle. Yo apoyaré a Gustavo Petro en segunda, pero ya dejen el fanatismo y la pelea. Algunos de ellos actúan como Uribistas. pic.twitter.com/mfIYBWheKp    	1
Sergio Fajardo en blanco, Humberto de la Calle, en blanco, Germán Vargas Lleras va con Iván Duque. La goleada que le van a meter a Gustavo Petro en las elecciones presidenciales será peor que la que se le viene a... https://www.facebook.com/chuchokelly/posts/10214374275087140 …    	0
En agradecimiento con humberto de la calle, y Sergio Fajardo mi voto es por Gustavo petro.    	1
Fajardo y Humberto De La Calle no apoyaron a Gustavo Petro. Así que, por mas esfuerzo que haga PETRO y teniendo en cuenta que ya no serán 6 candidatos sino 2 y el #VotoEnBlanco habrá un riesgo mínimo de que ninguno... https://www.facebook.com/wilframi/posts/1616712998378083 …    	0
Mientras Iván Duque se rodea de los partidos y movimientos políticos tradicionales, Gustavo Petro se quedó sin el apoyo de Fajardo y De la Calle, quienes anunciaron su voto en blanco. Divididos, el Polo y la Alianza Verde respaldan al candidato #ColombiaAlAire    	0
Fajardo y Humberto de la Calle votan en blanco porque saben que no pueden confiar en Gustavo Petro.    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde el... https://www.facebook.com/yezidgarciaabello/posts/1754604357952576 …    	0
Con la decisión de Sergio Fajardo y Humberto de la Calle de votar en blanco me siento más orgulloso de haber votado por Gustavo Petro. Los otros dos votan en blanco por ser coherentes con lo que dijeron en campaña, Petro luchará hasta el final porque es coherente con sus ideas.    	1
Siento tranquiladad al haber dado mi voto a Gustavo Petro, parece el único capaz de luchar por la paz y la justicia social, hoy Sergio Fajardo y Humberto de la Calle nos han mostrado que sus intereses personales son más fuertes que el interés de las mayorías.    	1
"Sergio Fajardo, Jorge Robledo y Humberto de la Calle emulan a Pilato y dejan en manos de Gustavo Petro y Angela Maria Robledo los sueños de 9 millones y medio de Colombianos. Quiere decir que no habrá ""Cuotas Burocráticas ni Componendas Políticas"". ¡Que bien! pic.twitter.com/OLMmiIpm7M"    	0
Entre mas conocemos a Humberto de la Calle y a Sergio Fajardo mas me convence Gustavo Petro y la #ColombiaHumana. Lo que hay son ganas y deseos de un cambio #NoDejesEnBlancoLaPaz    	1
Hoy me convenzo más que el único candidato que sí es diferente y quiere un verdadero cambio positivo para el país, es Gustavo Petro. Triste la decisión de Fajardo y Humberto de la Calle.    	1
Y si tan malas ideas tiene duque porq fajardo y de la calle siendo un profesores y un cúmulo de conocimientos no decidió apoyar al salvador de Colombia según usted Gustavo petro    	1
#SICDigital Fajardo salio a desmentir los rumores de que exista la ‘Coalición Colombia’, en la cual se le involucra con Gustavo Petro y Humberto De la Calle. por #Voces http://ow.ly/kRgA30keJdd #Elecciones #Colombiapic.twitter.com/sCXXXtoIpQ    	0
Huevos al gusto según el candidato: Duque: Con tocino Petro: Pericos Fajardo: Tibios Vargas Lleras: Estrellados De la Calle: Chamuscados a los lados, blanditos en el centro. #EleccionesPresidenciales2018 #ColombiaDecide #desayuno    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos.... https://www.facebook.com/permalink.php?story_fbid=2107171689299358&id=100000196412300 …    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde... https://www.facebook.com/jhonatan.jimenez.940098/posts/1661228887287966 …    	0
Las decisiones que han tomado Fajardo y Humberto de La Calle después de las elecciones, confirman que la mejor opción siempre fue Gustavo Petro.    	1
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde el... https://www.facebook.com/MUYBUENASTARDES/posts/2055350921204474 …    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde el... https://www.facebook.com/syguerrerog/posts/10157589112844498 …    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde el... https://www.facebook.com/juancarlos.durane/posts/1390126891089382 …    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde el... https://www.facebook.com/johnk.pabon/posts/1988483214738059 …    	0
Retweeted Gustavo Petro ( @petrogustavo): Si Fajardo, Robledo, Mockus o de la Calle hubieran sido los candidatos de segunda vuelta contra Uribe/Duque, no lo dudo un segundo, voto por ellos. Propuse desde el... https://www.facebook.com/ing.llinasramirez/posts/10156861165129769 …    	0
11,00213E+18    	1
No conozco el primer uribista que haya peinado a un seguidor de Gustavo Petro, Sergio Fajardo o Humberto de la Calle. Las cosas como son.    	1
representados en GUSTAVO PETRO, con 4.851.254 votos, SERGIO FAJARDO, con 4.589.696 votos y HUMBERTO DE LA CALLE, con 399.180 votos.    	1
Lo único que nos puede salvar de Uribe-Duque es un acuerdo programático entre Gustavo Petro Fajardo Humberto De La Calle y apoyado por Jorge Robledo Claudia López Antanas Mockus Clara Eugenia López Obregón https://fb.avaaz.org/campaign/es/elecciones_fb3/?fvoHcfb&fbogname=Roman …    	1
Más de 300 organizaciones de mujeres oyeron a Humberto de la Calle, Gustavo Petro y Sergio Fajardo, los tres candidatos que aceptaron la invitación para hablar sobre democracia paritaria, economía del cuidado y derechos sexuales y reproductivos.    0	1
#MiVotoEnSegundaEsPorColombia    	1
ASÍ VOTÓ NUESTRA GENTE DE SANTA ELENA: Ivan Duque Marquez: 1723 votos Segio Fajardo: 1021 votos Gustavo Petro: 334 votos Humberto De la Calle: 120 votos German Vargas Lleras: 103 votos El... https://www.facebook.com/permalink.php?story_fbid=1805426512849057&id=100001451761410 …    	0
Gustavo Petro, Sergio Fajardo y Humberto De la Calle, sumaron 9.800.000 votos, lo que constituyó más del 55% de la votación. http://bit.ly/2J1kS59    	0
Señor Petro, me llamo José Simon Dussan y no sé cómo lo va hacer, pero quiero que Fajardo, Humberto De La Calle, Gustavo Petro, sean mis presidentes.    	1
Sergio Fajardo en lugar de estar pensando quien le gusta más, si Gustavo Petro o Iván Duque, le recomiendo que se presente al Juzgado 2 Admistrativo del circuito de Medellín, ubicado en la Calle 42 No 48-55, edificio Atlas, para que se notifique del proceso    	0
Estas elecciones deben ser demandadas de inmediato, Gustavo Petro, Sergio Fajardo, Humberto de la Calle, Germán Vargas Lleras REACCIONEN.    	0
