Review	Liked
#YoVotoPetro Estrategia Uribe; jugó con 4 ases marcados, Duque, Vargas Neoliberales Radicales; DelaCalle Neoliberal moderado y Fajardo el ""gallo tapao"" de Uribe; todos contra Petro y Gustavo Petro crece y crece; Basta, No más Uribe No más Corrupción No más Paramilitarismo	1
Hoy estuvimos en el MIO diciéndole a la gente porque jóvenes de la campaña Sergio Fajardo, Humberto de la Calle y Gustavo Petro creemos que es necesario votar por la Colombia Humana, advirtiéndole al país la... https://www.facebook.com/100009632561501/videos/681389292192150.	1
A los votantes por Sergio Fajardo, Humberto de La Calle y Gustavo Petro, les pido unidad."" https://alponiente.com/si-no-nos-unimos-los-mismos-ganaran-el-reinado/ …	1
Yo voto ivan Duque	2
Edward mi candidato era Humberto, no tomo la decisión en campaña, por que todos dicen lo que la gente quiere oir, los evalué antes y mi orden era: Humberto de la Calle, Sergío Fajardo, Ivan Duque, Germán Vargas y Gustavo Petro. Omito ""lo que dicen"" por que es hipotetico	1
Yo no quiero que colombia sea como venezuela	2
Uribe el gran colombiano	2
La mañana de este martes Humberto de la Calle manifiesta su apoyo a la ideología política de Gustavo Petro. Insiste en que Iván Duque al frente del fin conflicto, genera peligro para el País.	1
Retweeted Iván Cepeda Castro ( @IvanCepedaCast): “Lo invito a luchar juntos”, la carta que Gustavo Petro le envió a Humberto de la Calle http://tinyurl.com/yakyqlzj vía @elespectador http://tinyurl.com/yakyqlzj	1
yo voto por la economia naranja	2

